 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Imuno
Período:2009-2019
"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"24 Rio Grande do Norte";98,80;65,29;78,24;71,89;86,30;69,92;74,98;85,94;0,60;0,30;54,19;75,05;76,64;69,89;94,28;63,00;41,38;84,85;4,72;68,47;42,59;30,08;67,46
"25 Paraíba";104,06;69,53;84,11;78,09;92,69;78,00;81,05;92,92;0,47;0,61;59,96;76,69;76,67;74,89;99,67;65,20;39,01;90,71;3,11;69,60;39,03;30,01;71,30
"26 Pernambuco";102,18;70,34;88,54;77,82;97,10;81,35;85,53;96,01;0,54;0,51;64,29;83,67;86,92;79,25;104,11;72,02;46,93;95,11;4,07;76,90;55,66;42,56;74,94
"27 Alagoas";103,04;71,19;80,12;73,86;91,73;77,29;76,26;89,94;1,18;0,75;65,36;81,51;80,06;77,92;99,10;68,51;45,54;89,04;4,74;74,43;51,17;37,61;70,82
"28 Sergipe";94,14;82,58;87,88;78,66;91,73;77,12;83,50;90,43;0,11;0,31;62,73;83,67;85,11;77,56;94,02;72,55;42,60;91,16;2,78;77,71;41,62;28,14;72,43
"29 Bahia";93,33;61,34;76,42;76,39;86,40;68,17;71,12;86,14;0,10;81,39;57,83;72,84;77,15;69,47;93,26;65,76;41,28;86,15;3,64;70,64;36,06;27,96;71,16
"31 Minas Gerais";96,25;68,11;92,21;96,57;96,73;82,76;90,02;93,69;0,12;90,05;69,60;87,25;90,03;83,61;98,44;79,82;43,54;94,78;2,57;80,78;33,12;32,54;82,94
"32 Espírito Santo";96,37;70,21;90,05;82,37;97,45;80,30;88,46;94,10;0,35;18,49;68,40;86,20;86,69;79,20;97,47;78,76;46,91;92,86;2,96;71,11;51,18;46,17;76,78
"33 Rio de Janeiro";103,17;65,90;82,71;79,36;91,79;78,48;75,51;93,60;0,16;9,50;63,51;76,83;78,03;70,18;97,17;70,80;46,66;88,39;4,48;65,78;40,09;38,41;70,21
"35 São Paulo";96,83;71,69;88,84;83,82;95,67;78,84;85,33;90,96;0,65;25,71;64,42;82,52;84,28;79,84;94,06;80,31;56,33;90,76;2,08;73,74;38,70;32,58;75,59
"41 Paraná";98,77;61,29;89,94;84,90;97,50;81,54;86,97;92,80;0,14;73,24;69,09;86,95;88,83;77,89;95,64;82,21;69,88;94,00;3,09;71,16;34,14;35,60;81,03
"42 Santa Catarina";96,84;70,39;93,13;89,35;98,70;83,04;90,87;93,42;0,25;32,90;71,14;87,30;90,70;81,37;96,93;81,46;71,83;93,68;2,37;74,96;39,69;36,24;80,85
"43 Rio Grande do Sul";95,39;62,96;84,45;80,56;91,55;79,21;81,51;87,74;0,62;48,77;65,42;79,67;82,15;75,56;90,89;76,96;64,68;87,76;3,78;69,84;33,09;28,67;74,62
"50 Mato Grosso do Sul";106,96;82,56;96,01;89,41;100,93;91,44;93,78;100,48;0,47;94,89;72,61;94,56;95,98;91,55;102,64;79,97;71,36;101,12;3,53;88,90;51,55;39,81;87,60
"51 Mato Grosso";99,26;75,55;87,34;82,32;94,24;80,73;80,86;93,41;0,75;90,33;65,76;79,73;84,55;77,47;95,82;75,76;67,21;92,34;3,45;75,70;45,79;34,55;80,23
"52 Goiás";102,86;62,30;88,18;81,16;93,63;79,35;83,06;92,03;0,21;88,41;65,29;79,94;83,22;76,20;98,53;74,27;62,76;90,02;4,61;68,30;32,53;35,59;78,36
"53 Distrito Federal";104,01;92,93;88,12;80,54;93,67;82,50;84,25;92,77;0,12;55,29;71,56;86,21;89,98;81,38;92,23;89,83;78,40;91,62;4,64;79,50;58,45;41,23;82,04
"Total";99,23;68,79;85,49;81,18;93,23;77,80;81,04;91,29;0,43;48,28;63,73;80,51;82,82;76,27;96,07;74,23;53,27;90,31;3,31;72,52;40,48;33,97;75,48
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

