 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Ano
Imuno: 074 Poliomielite, 100 Poliomielite 4 anos, 093 Poliomielite(1º ref)
Período:1994-2019
"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"51 Mato Grosso";48,25;58,58;68,61;104,25;109,78;111,50;125,46;117,54;111,61;108,27;109,45;112,94;109,60;112,30;104,55;107,67;100,40;103,22;99,50;98,32;95,53;94,75;84,24;76,56;74,40;42,39;90,63
"52 Goiás";37,28;85,64;82,35;68,33;91,10;98,08;107,12;101,08;99,28;104,13;111,97;104,03;110,61;112,35;104,30;105,20;100,56;107,11;101,00;102,16;92,62;87,10;78,73;72,00;65,69;45,49;86,82
"53 Distrito Federal";...;-;105,49;107,50;127,57;126,08;99,53;97,51;97,23;96,96;101,10;96,60;101,83;100,31;99,18;101,97;94,20;86,48;93,65;110,34;88,60;72,12;118,99;60,41;53,21;36,73;84,94
"Total";58,23;77,82;80,85;89,27;95,30;99,08;101,44;102,83;100,01;100,48;104,30;105,12;105,25;105,43;100,18;103,66;99,35;101,33;96,55;96,81;91,54;91,41;79,40;68,90;66,87;41,65;87,58
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

